MBE001,,PS2618 .T27 2016,The tell-tale heart,Book,"Poe, Edgar Allan, 1809-1849","Miller, Patrice","Dallas, TX : Aredian Press",2016,30 pages ; 75 mm in box 85 x 90 mm,"Bound in red goatskin, red and black decorated endpapers. Book is laid in a box made of red goatskin and red and black decorated paper; box has a panel that lifts up to reveal a plastic ""heart"" (when pushed on the bottom the heart ""beats"").",Artists' books--Specimens; Miniature books--Specimens
MBE002,,N7433.4.A26 G7 2014,Grandma’s Quilt,Book,"Abney, Cathie.",,"[Middletown, OH : Cathie Abney]",[2014],"3 unnumbered leaves, 6 leaves, 2 unnumbered leaves : illustrations ; 44 x 43 mm","Bound in multicolored cotton fabric made to look like a quilted bed with a woman sleeping in it, hand-sewn.",Miniature books--Ohio--21st century--Specimens; Artists' books--Ohio--21st century--Specimens; Quilting; Grandmothers--Poetry
MBE003,,GT2120 .G37 2015,La corbata = the tie,Book,"García de Fuentes, Manuel.",,Marbella (Spain) : [Garciadefuentes Press],2015,"57 pages, 21 unnumbered pages : illustrations (some color) ; 67 x 52 mm in 80 mm box",Bound in cloth boards made to look like a blue and white striped shirt with floral tie; in white box with copy of title page pasted to bottom.,Miniature books--Spain--21st century--Specimens; Neckties; Men's clothing
MBE004,,HQ461.N32 B15 2002,The perfumed garden,Book,"Bailey, Alicia.",,"Lake City, Col. : Ravenpress",2002,[22] p. : chiefly col. ill. ; 37 x 58 mm.,"Printed as leaves, pasted to form pages, and pasted to endpapers to mount in marbled boards without spine, printed paper cover label; issued in a carved stone box (77 x 46 x 36 mm.) with printed bottom liner.","Nafzāwī, ʻUmar ibn Muḥammad; Rawḍ al-ʻāṭir fī nuzʹhat al-khāṭir--Illustrations; Erotic literature--Early works to 1800; Miniature books--Specimens"
MBE005,,N7433.4.H9 G45,Gifted,Book,"Hutchins, Edward H.","Adomeit, Ruth E., former owner","Hudson, N.Y. : Editions",1991,1 v. : col. ill. ; 68 mm.,"Text mounted in papier-mâché col. model of gift wrapped box, leather hinge mounted at bottom, magnetic fastener at top.",Artists' books--Specimens; Toy and movable books--Specimens; Miniature books--Specimens
MBE006,,N7433.4.H9 S68,Soft serve,Book,"Hutchins, Edward H.","Adomeit, Ruth E., former owner","[Cairo, N.Y.] : Editions",1993,1 sheet ([1] p.) : col. ill. ; 68 cm. x 51 mm.,"Scroll, mounted on wooden roller, within a plastic pink and buff pop-apart ice-cream cone, within a transparent blue plastic box, both with printed paper title labels.",Artists' books--Specimens; Toy and movable books--Specimens; Miniature books--Specimens
MBE007,,TX724.5.C5 L72,Takeout for two,Book,"Liflander, Pamela.",,Philadelphia : Running Press,2002,"31, [1] p. ; 80 mm. + 1 container (with 20 items)","Booklet is housed in a mini Chinese takeout container along with two placemats printed with the Chinese astrology animals and descriptions; two decorative paper lanterns; two pairs of mini chopsticks; two black ceramic chopstick holders; and, a dozen paper fortunes.","Cooking, Chinese Miniature books--Specimens; Toy and movable books--Specimens"
MBE008,,DA447.P4 A4 1986,"Pepys pops up : moving events from the Diaries of Samuel Pepys, Esq 1660-1667",Book,"Adams, Maryline Poole.","Adomeit, Ruth E., former owner; Pepys, Samuel, 1633-1703. Diary. Selections.","Berkeley, Calif. : Poole Press",1986,[14] p. : col. ill. ; 77 mm.,"Toy and movable book with pop-up and pull-tab figures mounted on or inserted between double leaves. Bound in red leather with strap closure, title pop-up also bound in red leather (39 x 22 mm.) mounted on upper cover; in a col. ill. lined wooden book-box.","Pepys, Samuel, 1633-1703; Diary; Selections; Miniature books--Specimens; Toy and movable books--Specimens"
MBE009,,TX769.K35 T87 2011,The I love toast book,Book,"Kelly, Lynne.",Miniature Book Society InU,"[Gold Bar, WA : Lynne Kelly]",[2011],2 v. ; 70 mm. (76 mm in slipcase),"Two volumes bound in tan boards, with paper illustration of toast affixed to each cover. In silver toaster-shaped slipcase; each side of the ""toaster"" is hinged and when opened, a printed slip of paper is revealed on each side.",Bread; Toy and movable books--Specimens; Miniature books--Specimens
MBE010,,N7433.4.M37 L65 1968,Lollipop book : to be devoured but not eaten : last will and jestament,Book,"Massmann, Robert E., -2013","Adomeit, Ruth E., former owner","[New Britain, Conn : REM Miniatures]",[1968],1 v. (unpaged) ; 80 x 40 x 40 mm.,"Item is a book with pages fanned open in a circle, attached to a vertical rod with a wooden bead base, attached to a red octagonal cardboard platform.","Thomajan, Puzant Kevork--Will; Miniature books--Specimens"
